epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,12131.9,1.25779,0.93572,1.21392,0.81619,0.73412,0.81745,0.50182,1.16296,1.1007,1.10637,0.00355743,0.00355743,0.00355743
104,12249.6,1.25875,0.9234,1.21566,0.81801,0.73363,0.81744,0.50186,1.16284,1.09958,1.10637,0.00354329,0.00354329,0.00354329
105,12367.5,1.25673,0.91715,1.20932,0.81897,0.73391,0.8175,0.50186,1.16293,1.09811,1.10646,0.00352914,0.00352914,0.00352914
106,12485.4,1.24847,0.91695,1.204,0.81901,0.73521,0.81825,0.50211,1.16286,1.09618,1.10631,0.003515,0.003515,0.003515
107,12603.5,1.24828,0.908,1.20289,0.81905,0.73677,0.81849,0.50224,1.16285,1.09412,1.10637,0.00350086,0.00350086,0.00350086
108,12721.4,1.24735,0.90113,1.19988,0.8197,0.73748,0.81881,0.50281,1.1624,1.09089,1.10598,0.00348671,0.00348671,0.00348671
109,12839.2,1.24459,0.90731,1.20444,0.81957,0.73703,0.81876,0.50266,1.16206,1.08727,1.10579,0.00347257,0.00347257,0.00347257
110,12957.4,1.24584,0.90605,1.20647,0.81993,0.73676,0.81899,0.5028,1.16214,1.08344,1.10623,0.00345843,0.00345843,0.00345843
111,13075.6,1.23989,0.89791,1.20252,0.81975,0.73693,0.819,0.50339,1.16197,1.0826,1.10628,0.00344429,0.00344429,0.00344429
112,13193.5,1.24504,0.90195,1.20243,0.82112,0.73734,0.81907,0.50401,1.16217,1.0809,1.10663,0.00343014,0.00343014,0.00343014
113,13311.3,1.24524,0.89157,1.2001,0.82136,0.73726,0.81947,0.50421,1.16242,1.07902,1.10671,0.003416,0.003416,0.003416
